	Kategorie	Nummer	Bezeichnung Kategorie	Anmerkungen	Zuordnung unsicher		mehrdeutig		diskutieren!		Kontext (SteA-Text)
haushaltsgerät	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
holzwerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								sicherer Umgang mit Holzwerkzeugen (Fräse, Säge, Hobel¿)
kamm	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Salon Kamm und Schere, 90602 Pyrbaum
kartuschenpresse	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Kenntnisse in der Bedienung von Stichsägen, Flex und Kartuschenpressen werden vorausgesetzt.
kehrbese	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Arbeiten mit Kehrbesen, Kugel und Messgeräten)
lupe	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
make-up	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
malerzubehör	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
pinsel	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Zu Ihren Aufgaben gehört das Tapezieren von unterschiedlichen Materialien, Anstricharbeiten, ganzflächiges Spachteln von Wänden, lackieren mit Pinsel und Rolle.  Zu Ihren Aufgaben gehört das Tapezieren von unterschiedlichen Materialien, Anstricharbeiten, ganzflächiges Spachteln von Wänden, lackieren mit Pinsel und Rolle.  Zu Ihren Aufgaben gehört das Tapezieren von unterschiedlichen Materialien, Anstricharbeiten, ganzflächiges Spachteln von Wänden, lackieren mit Pinsel und Rolle.
pipette	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
reinigungswerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								welche Reinigungswerkzeuge, -geräte und -maschinen es gibt und wie man sie einsetzt
riesenpfanne	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Riesenpfannen und Elektrogeräte mit Deco
rohrschneider	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Maße auf die Rohrstücke übertragen (anreißen) und die Rohre mit Schneidbrenner, Säge oder Rohrschneider zuschneiden
säge	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Mit Nagelschussgeräten, Elektrotacker, Bohrmaschine sowie Säge und Hobel bearbeiten sie Holz, aber auch andere Werkstoffe.
schaufel	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								der sichere Umgang mit einer Schaufel
schere	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
schleifpapier	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
schraubendreher	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								handwerkliche Tätigkeiten (mit Zangen, Schraubendreher und Lötkolben) durchführen
schraubenzieher	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Mithilfe von Bohrmaschinen, Zangen, Schraubenziehern, Hämmern und Widerstandsmessgeräten führen sie die Installationen und Prüfungen durch.
schrauber	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Haben Sie bereits Erfahrung im Metallhandwerk oder verfügen über gute handwerkliche Kenntnisse im Umgang mit Sägen, Bohrern, Schraubern und Flex?
seilsäge	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Wir sägen Beton mit Hilfe von Diamantblättern, Seilsägen, Hydraulik- und Radialsägen.    Wir sägen Beton mithilfe von Diamantblättern, Seilsägen, Hydraulik- und Radialsägen.    Wir sägen Beton mithilfe von Diamantblättern, Seilsägen, Hydraulik- und Radialsägen.
seitenschneider	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
siebe	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Siebe, Filter und Abscheidevorrichtungen reinigen, ggf.
spannfutter	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
spannmittel	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
spritze	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Sie sollten Erfahrung im Spritzen und im Verbandswechsel mitbringen, bereits erste Erfahrung im ambulanten Dienst gesammelt haben sowie im Besitz der Führerscheinklasse B/3 sein.
werkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
zang	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Neigung zu handwerklicher Tätigkeit (elektrische Arbeiten mit Zangen, Schraubendreher und Lötkolben durchführen)
zangen	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								handwerkliche Tätigkeiten (mit Zangen, Schraubendreher und Lötkolben) durchführen
crimpzang	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Sicherer Umgang mit Crimpzangen und Abisolierwerkzeugen
crimpzangen	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Erfahrung im Umgang mit Abisolierwerkzeugen und Crimpzangen
druckform	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Vorlagen, Druckformen, Farben und Druckergebnisse messen und prüfen.
einlegewerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Sie haben fundierte Praxis im Werkzeugbau und kennen sich idealerweise mit Folgeverbundwerkzeugen und Einlegewerkzeugen aus.
entgrater	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Die Firma HäMa Maschinenbau GmbH bietet eine Vielzahl an individuell auf Material und Einsatzzweck abgestimmte Kreissägen und Entgrater in hoher Qualität.
entgratungswerkzeuge	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Sie kennen sich mit der Metallbearbeitung verschiedener Sorten aus und haben Erfahrung im Umgang mit kleinen Entgratungswerkzeugen.
feile	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Anhand von Feile und Schleifpapier Teile entgraten
hammer	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Bei Werkzeugen denken wir meist an Rohrzange, Schraubendrehern oder Hammer.
heckenschere	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Sicheres und freundliches Auftreten, sehr gute Pflanzenkenntnisse sowie der sichere Umgang mit Motorsägen und Heckenschere sind Voraussetzung.
hilfswerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Ermittlung der Aufwände und Beschaffung der Hilfswerkzeuge und Musterteile
klebebind	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Bedienung von Falzaggregaten, Klebebindern und Sammelheftern
kochlöffel	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								In unserem ersten Warenverarbeitungszentrum in Deutschland wird die Ware, ob Schuhe, Taschen oder Kochlöffel, für den Verkauf in den Stores in ganz Europe vorbereitet.
kücheninventar	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Neigung zu praktisch-zupackender Tätigkeit (Zutaten vorbereiten und waschen, Küche aufräumen, Geräte und Kücheninventar reinigen)  Reinigen und Pflegen von Geräten und Kücheninventar unter besonderer Berücksichtigung von Hygienevorschriften  Zutaten vorbereiten und waschen, Küche aufräumen, Geräte und Kücheninventar reinigen  Reinigen und Pflegen von Geräten und Kücheninventar unter besonderer Berücksichtigung von Hygienevorschriften  * Sie neigen zu praktisch-zupackender Tätigkeit (Zutaten vorbereiten und waschen, Küche aufräumen, Geräte und Kücheninventar reinigen)?  Reinigen und Pflegen von Geräten und Kücheninventar unter besonderer Berücksichtigung von Hygienevorschriften  Reinigen und Pflegen von Geräten und Kücheninventar unter besonderer Berücksichtigung von Hygienevorschriften  * Sie besitzen die Neigung zu praktisch-zupackender Tätigkeit (Zutaten vorbereiten und waschen, Küche aufräumen, Geräte und Kücheninventar reinigen).  Reinigen und Pflegen von Geräten und Kücheninventar unter besonderer Berücksichtigung von Hygienevorschriften  Reinigen und Pflegen von Geräten und Kücheninventar unter besonderer Berücksichtigung von Hygienevorschriften  an praktisch-zupackender Tätigkeit (Zutaten vorbereiten und waschen, Küche aufräumen, Geräte und Kücheninventar reinigen)  Reinigen und Pflegen von Geräten und Kücheninventar unter besonderer Berücksichtigung von Hygienevorschriften
laborutensillie	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Sie reinigen und warten Messgeräte und Laborutensillien
lineal	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								In der zeichnerishcen Grundausbildung erlernt man die Fähigkeit mit Bleistift, Lineal und Tusche umzugehen.
lockenwickler	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Lockenwickler, Föhn oder Trockenhaube bereit.
lsa+	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Kenntnisse in LSA+, SM 71, LWL, CAT 5/6
montage-werkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								persönliche Schutzausrüstung und Montage-Werkzeug
prägwerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Neubau/Instandsetzung und Wartung von Stanz- und Prägwerkzeugen
rohrsäge	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Die Firma Riexinger ist seit 1969 weltweit führend in der Entwicklung und Herstellung von Kunststoffschweißgeräten, Schweißmaschinen und Rohrsägen für die Verarbeitung von Kunststoff -Rohren, -Formteilen, -Fittings und -Profilen.  Die Firma Riexinger ist seit 1969 weltweit führend in der Entwicklung und Herstellung von Kunststoffschweißgeräten, Schweißmaschinen und Rohrsägen für die Verarbeitung von Kunststoff -Rohren, -Formteilen, -Fittings und -Profilen.
rohrzange	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Bei Werkzeugen denken wir meist an Rohrzange, Schraubendrehern oder Hammer.
rührbehälter	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Bedienen von Produktionsanlagen gemäß Betriebsanleitung (Mischer, Rührbehälter, Pumpen)
schaber	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Entgratungsarbeiten mit Feile und Schaber
schankanlage	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Kundendienst, Montage, Aufstellung und Inbetriebnahme von Schankanlagen und Kaffeemaschinen in der Gastronomie.
schneider	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Erfahrungen in der Visualisierung WINCC und PCS7 sowie Programmierkenntnisse Allen Bradley und Schneider sind von Vorteil
schnittwerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Reparatur und Instandhaltung von Stanz- und Umformgroßwerkzeugen, sowie Folgeverbundwerkzeugen und Schnittwerkzeugen.
schrottschere	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Führen und Einrichten von Maschinen und Anlagen (Schrottschere und Magnesiumpresse)
stechbeitel	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Das Lesen von Plänen, der Umgang mit Wasserwaage, Hammer, Stechbeitel und Hobel etc. sollte für Sie Routine vorhanden sein.
stecheise	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Du arbeitest mit elektronisch gesteuerten Maschinen wie Formatkreissäge, Tischfräse etc., aber auch mit traditionellen Handwerkzeugen wie Hobel und Stecheisen.
wok-pfannen	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Mit asiatischen Speisen und WOK-Pfannen umgehen können
metallbearbeitungswerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								sicherer Umgang mit Blech- und Metallbearbeitungswerkzeugen
operationsinstrument	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Verantwortung für die Reinigung, Sterilisierung und Wiederaufbereitung von medizinischen Geräten und Operationsinstrumenten nach anerkannten Qualitätsstandards
ziehwerkzeug	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Sie verfügen über Berufserfahrung mit CNC-Maschinen und haben Kenntnisse im Bereich Folgeverbund-/ und Ziehwerkzeuge.  Kenntnisse in Ziehwerkzeuge
küchenequipment	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
schweißunterlage	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Erstellen von schweißtechnischen Prüfplänen und Schweißunterlagen entsprechend der geforderten Regelwerke (DIN, EN, ISO, ASME,etc.)
hobel	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Gute Kenntnisse in Hobeln, Bohren, Sägen und Schleifen
leuchtlupe	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								Visuelle Kontrollen mit Leuchtlupen, Mikroskop oder Endoskop
petrischale	(1A) einfaches Handwerkzeug	(1A)	einfaches Handwerkzeug								NA
airbrush	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Kenntnisse im Airbrush von Vorteil, jedoch keine Bedingung.
airlessanlage	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								NA
airmixpumpe	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								NA
becherpistole	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Abklebearbeiten, Schleifarbeiten (Grob- und Feinschliff), Lackieren von großflächigen Metallkomponenten, Sicht- und Oberflächenkontrolle und der Umgang mit den entsprechenden Werkzeugen (Becherpistole und airless).
druckluftpistole	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Erfahrung im Umgang mit einer Druckluftpistole
druckluftstrahler	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Erfahrungen im Bereich Druckluftstrahler (maschinell/ Handbetrieb) notwendig.
gasbrenner	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Kenntnisse im Bereich Öl und Gasbrenner montieren und reinigen
gaslötbrenner	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Kenntnisse im Umgang mit Gaslötbrenner (Hammerlötkolben), Flussmittel, Lot sind von Vorteil
gaszug	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Gaszug und Sattelzug fahren
hand bzw. airmixpumpe	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								NA
spritzgerät	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								sicherer Umgang mit Spritzgeräten - und pistolen
airless-spritzpistole	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Erfahrungen im Umgang mit einer Airless-Spritzpistole sind Voraussetzung
airlessgerät	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Lackierung mit Becherpistole und Airlessgerät
airlessgerat	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Sie sollten deshalb vertraut im Umgang mit der Becherpistole und Airlessgeräten sein.
becher-pistolen	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								den Umgang mit Airless-Spritzen und Becher-Pistolen sowie mit elektrostatischen Verfahren sollten Sie beherrschen
pistolen	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Sie tragen einzelne Lackschichten mit Spritzgeräten und Pistolen, manchmal auch mit Pinsel und Rolle auf.
schneidbrenner	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Maße auf die Rohrstücke übertragen (anreißen) und die Rohre mit Schneidbrenner, Säge oder Rohrschneider zuschneiden
spritzpistole	(1B) feinmechanische oder Spezial-Handwerkzeuge und Instrumente	(1B)	feinmechanische oder Spezial-Handwerkzeuge und Instrumente								Sie besitzen fundierte Kenntnisse im Umgang mit Spritzpistolen
großgerät	(1C) einfache Geräte	(1C)	einfache Geräte								Erfahrung im Umgang mit Großgeräten und hydraulischen Anlagen
großküchen	(1C) einfache Geräte	(1C)	einfache Geräte								Gesucht werden Küchenhilfen oder Beiköche mit bereits vorhandener Erfahrung in Großküchen.
kleinger<e4>t	(1C) einfache Geräte	(1C)	einfache Geräte								NA
kleingerät	(1C) einfache Geräte	(1C)	einfache Geräte								Bewerber/innen sollen Erfahrung als Kranführer und müssen Kenntnisse im Umgang mit unterschiedlichen Baumaschinen (Kleingeräte) haben.    Service und Reparaturen von Traktoren, Landmaschinen und Kleingeräten.
kochkessel	(1C) einfache Geräte	(1C)	einfache Geräte								Reinigung und Desinfektion von Kochkesseln und Küchengeräten
rollbahn-system	(1C) einfache Geräte	(1C)	einfache Geräte	Kontext prüfen!							Zu Ihren Aufgaben gehört die Herstellung bzw. Montage von Förderteilen und Baugruppen für Rollbahn-Systemen, Palettentransport-Systemen und Fördersystemen für Produktionsmaschinen für Elektronik und Chipkarten.
bündelgerät	(1C) einfache Geräte	(1C)	einfache Geräte								NA
werkzeugschleifen	(1D) elektrische Geräte	(1D)	elektrische Geräte								Kenntnisse und Erfahrung im CNC-Bereich zwingend erforderlich, Kenntnisse in Maschinenbedienung/Maschineneinrichtung, Werkzeugschleifen, Arbeit nach Zeichnung
dampfstrahler	(1D) elektrische Geräte	(1D)	elektrische Geräte								Geübter Umgang mit Poliermaschine, Dampfstrahler und Staubsauger wären von Vorteil.
küchengerät	(1D) elektrische Geräte	(1D)	elektrische Geräte								NA
back<f6>fen	(1D) elektrische Geräte	(1D)	elektrische Geräte	Backofen?							NA
backöfen	(1D) elektrische Geräte	(1D)	elektrische Geräte								NA
ec-zahlungsgerät	(1D) elektrische Geräte	(1D)	elektrische Geräte								Beratung, Verkauf und Planung von Sicherheitstechnik, Alarmanlagen, Digitale Videoüberwachung, Brandmeldeanlagen, Solaranlagen und EC-Zahlungsgeräten
e-herd	(1D) elektrische Geräte	(1D)	elektrische Geräte								Sie sollten idealerweise über berufliche Erfahrung in der Möbel-Montage verfügen, weiterhin ist der Besitz eines Befähigungsnachweises zum Anschluss von elektrischen Geräten (E-Herd ect.) von Vorteil - aber nicht Bedingung.
elektroherde	(1D) elektrische Geräte	(1D)	elektrische Geräte								Interessieren Sie sich für das breite Spektrum der Haushaltsgeräte, wie Waschmaschinen, Trockner, Elektroherde und Kleingeräte?
hammerlötkolben	(1D) elektrische Geräte	(1D)	elektrische Geräte								NA
hausgerät	(1D) elektrische Geräte	(1D)	elektrische Geräte								NA
haushaltgerät	(1D) elektrische Geräte	(1D)	elektrische Geräte								Installation und Montage von Schaltern, Verteilerkästen und Haushaltgeräten
haushaltsgroßgerät	(1D) elektrische Geräte	(1D)	elektrische Geräte								wünschenswert sind Erfahrungen im Umgang mit Haushaltsgroßgeräten
herd	(1D) elektrische Geräte	(1D)	elektrische Geräte								Anschließen von Küchengeräten (Herd, Ceran-Kochfelder, etc.)
industriesauger	(1D) elektrische Geräte	(1D)	elektrische Geräte								Für unseren Kunden,der Technologieführer bei Industriesaugern, Absauganlagen und Entstaubern, suchen wir einen
kaffeeautomat	(1D) elektrische Geräte	(1D)	elektrische Geräte								Wir erwarten sehr gute Kenntnisse im Bereich der Elektronik, von Vorteil sind Kenntnisse im Bereich der Kaffeeautomaten, da Ihr zukünftiges Tätigkeitsfeld die Durchführung von Wartungen und Reparaturen an verschiedenen Kaffeeautomaten sein wird.  Wir erwarten sehr gute Kenntnisse im Bereich der Elektronik, von Vorteil sind Kenntnisse im Bereich der Kaffeeautomaten, da Ihr zukünftiges Tätigkeitsfeld die Durchführung von Wartungen und Reparaturen an verschiedenen Kaffeeautomaten sein wird.
kaffeemaschine	(1D) elektrische Geräte	(1D)	elektrische Geräte								Sie halten außerdem unsere Imbiss- und Cafétische sauber und pflegen die Verkaufstheke, Kaffeemaschinen, Messer oder Brotschneidemaschinen.
klimaanlage	(1D) elektrische Geräte	(1D)	elektrische Geräte								NA
klimagerät	(1D) elektrische Geräte	(1D)	elektrische Geräte								Handwerksunternehmen aus den Bereichen Klima-, Kälte-, Heizungsbau und Elektro hochwertige Produkte und umfassende Servicedienstleistungen für Klimanlagen, Klimageräte und Wärmepumpen an.
kühlschrank	(1D) elektrische Geräte	(1D)	elektrische Geräte								Kühlschränke und -tische
ladenbacköfe	(1D) elektrische Geräte	(1D)	elektrische Geräte								Gelernte Fachkräfte oder mit mehrjähriger einschlägiger Berufserfahrung sowie Kenntnisse im Umgang mit Ladenbacköfen und Computerkassen wären von Vorteil.
lamp	(1D) elektrische Geräte	(1D)	elektrische Geräte								NA
lampe	(1D) elektrische Geräte	(1D)	elektrische Geräte								Installation von Steckdosen, Schaltern und Lampen
mixer	(1D) elektrische Geräte	(1D)	elektrische Geräte								Nicht nur private Haushalte benötigen Energie für Licht, Heizungsanlagen und alle elektrischen Geräte vom Mixer bis zum Computer.
plasmaschneider	(1D) elektrische Geräte	(1D)	elektrische Geräte								Sie verfügen über eine abgeschlossene Ausbildung als Schlosser/in und haben bereits Erfahrung in der Metallbearbeitung mittels Plasmaschneider, Laser oder Schneidbrenner.
rasenmäher	(1D) elektrische Geräte	(1D)	elektrische Geräte								Rasenmäher und Motorsägen.  Reparatur, Wartung, Instandhaltung von Landmaschinen, Gartengeräten, Kleingeräten (Motorsägen, Rasenmäher...)  Reparatur, Wartung, Instandhaltung von Landmaschinen, Gartengeräten, Kleingeräten (Motorsägen, Rasenmäher...)
verstärker	(1D) elektrische Geräte	(1D)	elektrische Geräte								Vertriebsmitarbeiter (m/w) für unsere Abteilung Vertrieb Mobilfunkkomponenten wie Antennen, Filter und Verstärker.
backofen	(1D) elektrische Geräte	(1D)	elektrische Geräte								Unser Cateringwagen ist komplett ausgestattet mit einem Backofen, Induktionsherd und Kühlschrank.
elektrokleingerät	(1D) elektrische Geräte	(1D)	elektrische Geräte								Das Tätigkeitsfeld umfasst einen beratungsintensiven Verkauf von Produkten im Bereich der Haushaltsgeräte, wie zum Beispiel: Waschmaschinen, Kühlschränke, Spülmaschine und Elektrokleingeräte.
haushaltselektrogerät	(1D) elektrische Geräte	(1D)	elektrische Geräte								Unter dem Slogan expert ¿preiswert und kompetent¿ bieten die Fachbetriebe auf Verkaufsflächen von ca. 1.500 m² das ganze Sortiment von moderner Unterhaltungselektronik, Computer, Telekom, Software und Haushaltselektrogeräte an.
induktionsherd	(1D) elektrische Geräte	(1D)	elektrische Geräte								Unser Cateringwagen ist komplett ausgestattet mit einem Backofen, Induktionsherd und Kühlschrank.
kaffeevollautomat	(1D) elektrische Geräte	(1D)	elektrische Geräte								Service von Kaffeemaschinen und Kaffeevollautomaten, d.h.
kombidämpfer	(1D) elektrische Geräte	(1D)	elektrische Geräte								Vorausgesetzt werden Kenntnisse im Umgang mit dem Kombidämpfer.
kühl-/gefrierschrank	(1D) elektrische Geräte	(1D)	elektrische Geräte								Diverse Gastronomische Klein- und Großgeräte (Sahneautomaten, Kühl-/Gefrierschränke uvm.)
kühlgerät	(1D) elektrische Geräte	(1D)	elektrische Geräte								* Montieren und reparieren von Elektroherden, Backöfen, Waschmaschinen, Wäschetrocknern, Geschirrspüler und Kühlgeräten
kühltruhe	(1D) elektrische Geräte	(1D)	elektrische Geräte								Ausliefern von Kühltruhen und Kühlgeräten an Supermärkte, überwiegend bundesweit, teilweise aber
laserschneide	(1D) elektrische Geräte	(1D)	elektrische Geräte								Stanzen und Laserschneiden einfacher und komplexer Bauteile  Stanzen und Laserschneiden einfacher und komplexer Bauteile
laserschweiß	(1D) elektrische Geräte	(1D)	elektrische Geräte								Roboter- und Laserschweißen
mikrofon	(1D) elektrische Geräte	(1D)	elektrische Geräte								für Filmproduktionen den Einsatz von Material und technischer Ausstattung wie Kameras und Mikrofone.
öfen	(1D) elektrische Geräte	(1D)	elektrische Geräte								Bau von Öfen und Heizkaminen
